isolate	L	S	M	country	host	reference	organism	collection_date
Epuyen/18-19_Patient_2_11/23/18	-	MN258249.1	MN258215.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	28/11/2018
Epuyen/18-19_Patient_20_1/1/19	MN258173.1	MN258240.1	MN258206.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	06/01/2019
Epuyen/18-19_Patient_22_1/1/19	MN258174.1	MN258241.1	MN258207.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	04/01/2019
Epuyen/18-19_Patient_23_1/7/19	MN258175.1	MN258242.1	MN258208.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	05/01/2019
Epuyen/18-19_Patient_24_1/3/19	MN258176.1	MN258243.1	MN258209.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	06/01/2019
Epuyen/18-19_Patient_25_1/6/19	MN258177.1	MN258244.1	MN258210.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	06/01/2019
Epuyen/18-19_Patient_26_1/4/19	MN258178.1	MN258245.1	MN258211.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	07/01/2019
Epuyen/18-19_Patient_27_1/8/19	MN258179.1	MN258246.1	MN258212.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	10/01/2019
Epuyen/18-19_Patient_28_1/6/19	MN258180.1	MN258247.1	MN258213.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	10/01/2019
Epuyen/18-19_Patient_29_1/14/19	MN258181.1	MN258248.1	MN258214.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	16/01/2019
Epuyen/18-19_Patient_3_11/20/18	MN258182.1	MN258250.1	MN258216.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	26/11/2018
Epuyen/18-19_Patient_4_11/27/18	MN258183.1	MN258251.1	MN258217.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	03/12/2018
Epuyen/18-19_Patient_5_11/26/18	MN258184.1	MN258252.1	MN258218.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	09/12/2018
Epuyen/18-19_Patient_6_11/25/18	MN258185.1	MN258253.1	MN258219.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	02/12/2018
Epuyen/18-19_Patient_7_12/7/18	MN258186.1	MN258254.1	MN258220.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	12/12/2018
Epuyen/18-19_Patient_8_12/13/18	MN258187.1	MN258255.1	MN258221.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	16/12/2018
Epuyen/18-19_Patient_9_12/12/18	MN258188.1	MN258256.1	MN258222.1	Argentina	Homo sapiens	10.1056/NEJMoa2009040	Orthohantavirus andesense	14/12/2018
Lm859	-	EU241688.1	-	Chile	Loxodontomys micropus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK 104619	-	-	EU241639.1-EU241653.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK 108843	-	-	EU241641.1-EU241655.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK 120092	-	-	EU241640.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK 96865	-	-	EU241637.1-EU241651.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK 96887	-	-	EU241638.1-EU241652.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK104535	-	EU241698.1	EU241646.1-EU241660.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK104544	-	EU241699.1	EU241647.1-EU241661.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK105362	-	EU241695.1	EU241645.1-EU241659.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK105979	-	EU241694.1	EU241642.1-EU241656.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK120076	-	EU241680.1	-	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK120378	-	EU241702.1	EU241650.1-EU241664.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK120387	-	EU241685.1	-	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK95083	-	EU241696.1	EU241644.1-EU241658.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK95613	-	EU241683.1	-	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK96555	-	EU241700.1	EU241648.1-EU241662.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK96566	-	EU241701.1	EU241649.1-EU241663.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NK96703	-	EU241697.1	EU241643.1-EU241657.1	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
NRC-2/97_06/01/1996	MN258157.1	MN258224.1	MN258190.1	Argentina	Homo sapiens	10.1371/JOURNAL.PNTD.0012465	Orthohantavirus andesense	30/11/1997
NRC2_ARLA17	MN850097.1	MN850087.1	MN850092.1	Argentina	Homo sapiens	10.3201/EID2604.190799	Orthohantavirus andesense	02/07/2017
NRC-3/18_06/01/1997	MN258158.1	MN258225.1	MN258191.1	Argentina	Homo sapiens	10.1056/nejmoa2009040	Orthohantavirus andesense	09/11/2018
NRC-4/18_06/01/2018	MN258159.1	MN258226.1	MN258192.1	Argentina	Homo sapiens	10.1056/nejmoa2009040	Orthohantavirus andesense	19/08/2018
NRC-5/18_06/01/2018	MN258160.1	MN258227.1	MN258193.1	Argentina	Homo sapiens	10.1056/nejmoa2009040	Orthohantavirus andesense	04/09/2018
NRC-6/18_05/21/18	MN258161.1	MN258228.1	MN258194.1	Argentina	Homo sapiens	10.1056/nejmoa2009040	Orthohantavirus andesense	21/05/2018
Ol178	-	EU241686.1	-	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
Ol25	-	EU241681.1	-	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
Ol26	-	EU241682.1	-	Chile	Oligoryzomys longicaudatus	https://www.ncbi.nlm.nih.gov/pubmed/19116256	Orthohantavirus andesense	02/07/2003
WBLH	PP_006WBLH.2	PP_006WBLH.2	PP_006WBLH.2	Switzerland	Homo sapiens		Orthohantavirus andesense	05/04/2026
XDHK	PP_006XDHK.5	PP_006XDHK.5	PP_006XDHK.5	Canada	Homo sapiens		Orthohantavirus andesense	15/05/2026
XDJH	PP_006XDJH.5	PP_006XDJH.5	PP_006XDJH.5	Canada	Homo sapiens		Orthohantavirus andesense	15/05/2026
